timestamp_ms,bid0_price,bid0_size,bid0_orders,bid1_price,bid1_size,bid1_orders,bid2_price,bid2_size,bid2_orders,bid3_price,bid3_size,bid3_orders,bid4_price,bid4_size,bid4_orders,bid5_price,bid5_size,bid5_orders,bid6_price,bid6_size,bid6_orders,bid7_price,bid7_size,bid7_orders,bid8_price,bid8_size,bid8_orders,bid9_price,bid9_size,bid9_orders,bid10_price,bid10_size,bid10_orders,bid11_price,bid11_size,bid11_orders,bid12_price,bid12_size,bid12_orders,bid13_price,bid13_size,bid13_orders,bid14_price,bid14_size,bid14_orders,bid15_price,bid15_size,bid15_orders,bid16_price,bid16_size,bid16_orders,bid17_price,bid17_size,bid17_orders,bid18_price,bid18_size,bid18_orders,bid19_price,bid19_size,bid19_orders,bid20_price,bid20_size,bid20_orders,bid21_price,bid21_size,bid21_orders,bid22_price,bid22_size,bid22_orders,bid23_price,bid23_size,bid23_orders,bid24_price,bid24_size,bid24_orders,ask0_price,ask0_size,ask0_orders,ask1_price,ask1_size,ask1_orders,ask2_price,ask2_size,ask2_orders,ask3_price,ask3_size,ask3_orders,ask4_price,ask4_size,ask4_orders,ask5_price,ask5_size,ask5_orders,ask6_price,ask6_size,ask6_orders,ask7_price,ask7_size,ask7_orders,ask8_price,ask8_size,ask8_orders,ask9_price,ask9_size,ask9_orders,ask10_price,ask10_size,ask10_orders,ask11_price,ask11_size,ask11_orders,ask12_price,ask12_size,ask12_orders,ask13_price,ask13_size,ask13_orders,ask14_price,ask14_size,ask14_orders,ask15_price,ask15_size,ask15_orders,ask16_price,ask16_size,ask16_orders,ask17_price,ask17_size,ask17_orders,ask18_price,ask18_size,ask18_orders,ask19_price,ask19_size,ask19_orders,ask20_price,ask20_size,ask20_orders,ask21_price,ask21_size,ask21_orders,ask22_price,ask22_size,ask22_orders,ask23_price,ask23_size,ask23_orders,ask24_price,ask24_size,ask24_orders,bid_vol_total,ask_vol_total,imbalance,spread,mid_price
1789088765152,76912.2,354.45,21,76911.9,0.02,2,76911.6,0.01,1,76911.4,0.01,1,76911.1,0.03,3,76911,0.66,1,76910.9,0.01,1,76910.4,0.03,3,76910.1,0.01,1,76910,0.01,1,76909.9,0.69,4,76909.8,46.12,3,76909.7,0.24,3,76909.6,1.29,4,76909.5,65.17,4,76909.4,3.02,3,76909.1,0.01,1,76908.9,0.02,2,76908.8,0.66,1,76908.6,0.02,2,76908.5,0.14,1,76908.4,0.02,2,76908.3,93.84,3,76908.2,0.02,2,76908,0.05,5,76912.3,248.71,46,76912.4,0.15,5,76912.9,0.13,1,76913.2,0.66,1,76913.9,0.01,1,76914,1.26,2,76914.2,0.01,1,76914.3,0.66,1,76914.5,0.01,1,76914.7,0.03,2,76914.8,2.64,4,76914.9,82.44,4,76915,58.83,1,76915.2,0.01,1,76915.3,0.01,1,76915.4,0.68,3,76915.5,150,1,76915.6,0.02,2,76915.8,0.03,3,76915.9,140.07,2,76916,150,1,76916.1,1.52,3,76916.4,0.52,2,76916.5,0.66,1,76916.8,0.01,1,566.55,839.07,-0.1939,0.1,76912.2
1789088795352,76923.9,352.37,21,76923.6,0.01,1,76923.3,0.65,1,76922.9,0.01,1,76922.6,0.02,2,76922.5,12.02,3,76922.4,12,1,76922.3,0.01,1,76922.2,0.66,2,76922.1,2.61,2,76922,214.01,3,76921.9,174.49,2,76921.7,0.01,1,76921.2,0.02,2,76921.1,0.02,2,76921,0.66,2,76920.5,0.01,1,76920.4,64.81,4,76920.3,163.33,4,76920.2,0.84,3,76920.1,158.91,4,76920,9.5,4,76919.9,0.04,4,76919.8,0.66,1,76919.7,0.02,2,76924,226.9,45,76924.1,0.01,1,76924.6,0.01,1,76924.7,0.02,1,76924.8,184.61,9,76924.9,0.11,5,76925.7,0.05,4,76925.8,168.98,3,76926.2,0.13,1,76926.6,0.14,3,76926.7,88.05,2,76926.8,0.02,2,76927.2,0.01,1,76927.3,0.01,1,76927.5,0.02,2,76927.9,0.01,1,76928,0.01,1,76928.4,0.01,1,76928.5,0.26,2,76928.6,0.27,3,76928.7,0.02,2,76928.8,0.65,1,76928.9,0.01,1,76929,3.33,2,76929.1,0.02,2,1167.69,673.66,0.2683,0.1,76923.9
1789088825552,76930.7,987.37,47,76930.6,112.32,7,76930.5,20.26,3,76930.4,232.95,4,76930.3,299.32,3,76930.1,0.18,5,76930,159.18,3,76929.9,89.85,8,76929.8,1.56,4,76929.6,0.02,2,76929.5,0.66,2,76929.4,30.52,2,76929,0.01,1,76928.8,0.01,1,76928.4,0.12,4,76928.3,0.65,1,76928.1,0.02,2,76928,9.18,2,76927.9,10.42,3,76927.8,3.23,1,76927.7,1.3,1,76927.6,1.29,3,76927.5,13.03,4,76927.4,3.21,4,76927.3,56.74,2,76930.8,64.59,21,76930.9,0.01,1,76931.2,0.01,1,76931.4,0.77,4,76931.5,1.75,4,76931.6,0.89,1,76932.5,0.01,1,76932.6,0.02,2,76932.7,1.5,2,76932.8,0.01,1,76932.9,0.01,1,76933,0.04,1,76933.3,0.01,1,76933.7,0.01,1,76933.9,0.02,2,76934,0.02,2,76934.1,0.69,2,76934.4,0.01,1,76934.5,0.01,1,76934.6,0.01,1,76935.3,0.02,2,76936,0.03,3,76936.1,1.22,2,76936.2,0.03,3,76936.3,1.43,1,2033.4,73.12,0.9306,0.1,76930.8
1789088855802,76939.9,1021.44,52,76939.8,25.78,5,76939.5,0.01,1,76939.3,0.03,2,76939.2,20.07,7,76939.1,27.53,4,76939,20,1,76938.9,0.02,2,76938.8,2.61,2,76938.7,236.65,3,76938.6,274,2,76938.1,0.01,1,76937.6,0.01,1,76937.5,0.02,2,76937.4,0.94,1,76937,0.02,2,76936.9,10.4,1,76936.8,0.96,3,76936.7,89.86,2,76936.6,150,1,76936.5,8.6,8,76936.1,0.01,1,76936,0.02,2,76935.9,0.94,1,76935.8,0.09,1,76940,237.38,21,76940.1,0.03,1,76940.2,0.02,1,76940.5,0.69,1,76940.7,0.06,2,76941.8,0.01,1,76942.4,0.01,1,76942.6,0.03,3,76942.7,65,1,76942.8,0.01,1,76942.9,0.01,1,76943,0.01,1,76943.1,0.02,2,76943.2,0.02,2,76943.3,0.01,1,76943.4,0.01,1,76943.8,0.66,2,76943.9,0.01,1,76944,1.13,2,76944.3,0.22,1,76944.4,0.01,1,76944.6,0.01,1,76944.9,0.02,2,76945,0.68,4,76945.1,5.22,3,1890.02,311.28,0.7172,0.1,76939.9
1789088886002,76945.7,45.87,13,76945.5,0.01,1,76944,0.01,1,76943.7,0.01,1,76943.6,0.01,1,76943.3,0.02,2,76943.1,0.01,1,76942.8,0.01,1,76942.4,0.01,1,76942,0.01,1,76941.6,0.22,1,76941.2,0.01,1,76940.6,0.01,1,76940.4,0.02,2,76940.1,0.01,1,76940,0.9,5,76939.9,0.04,3,76939.8,1.39,2,76939.7,0.66,2,76939.5,0.2,2,76939.2,0.02,2,76939.1,0.01,1,76938.9,0.01,1,76938.8,0.01,1,76938.6,0.12,1,76945.8,989.95,99,76945.9,246.92,5,76946,43.44,4,76946.2,0.01,1,76946.3,27.5,2,76946.4,0.02,2,76946.8,0.02,2,76946.9,20.02,3,76947,3.3,4,76947.3,0.01,1,76947.5,0.01,1,76947.8,0.1,1,76947.9,0.01,1,76948.2,0.01,1,76948.3,0.02,2,76948.4,0.65,1,76948.5,0.01,1,76948.8,5.22,3,76948.9,69.12,3,76949,28.6,3,76949.1,433.76,3,76949.2,550.88,4,76949.3,255.63,5,76949.4,173.43,8,76949.7,0.66,2,49.6,2849.3,-0.9658,0.1,76945.8
1789088916202,76933.3,735.48,43,76933.2,132.22,6,76933.1,20.01,2,76933,20.02,3,76932.9,47.7,2,76932.7,0.01,1,76932.6,0.02,2,76932.5,75.29,2,76932.4,13.77,1,76932.1,0.01,1,76932,0.02,2,76931.7,0.01,1,76931.6,0.69,5,76931.5,0.09,1,76931.4,0.04,4,76931.3,22.79,1,76931.2,0.01,1,76931.1,0.04,4,76931,16.68,3,76930.9,0.01,1,76930.8,27.67,3,76930.7,20.01,4,76930.6,0.02,2,76930.5,3.3,2,76930.4,0.02,2,76933.4,144.39,33,76933.5,0.01,1,76933.6,0.02,2,76933.7,2.04,3,76934,1.08,1,76934.4,0.01,1,76935.1,0.01,1,76935.3,0.01,1,76935.4,0.01,1,76935.9,0.01,1,76936.5,0.01,1,76937,0.01,1,76937.3,0.68,4,76937.6,0.01,1,76937.9,0.01,1,76938.1,0.02,2,76938.2,0.71,1,76938.4,0.02,2,76938.5,0.7,1,76938.6,0.66,2,76938.8,0.02,2,76938.9,1.26,2,76939,68.01,1,76939.2,0.02,2,76939.3,0.01,1,1135.93,219.74,0.6758,0.1,76933.4
1789088946402,76930,4074.05,27,76929.9,0.04,2,76929.8,0.9,3,76929,0.01,1,76928.8,0.02,2,76928.7,0.02,2,76928.6,0.65,1,76928.3,0.01,1,76928.1,0.01,1,76927.9,0.01,1,76927.6,0.01,1,76927.5,0.66,2,76927.4,0.01,1,76927.2,0.01,1,76926.8,0.01,1,76926.6,0.02,2,76926.5,0.01,1,76926.4,0.65,1,76926.1,0.01,1,76925.9,0.33,2,76925.7,0.03,3,76925.6,0.22,1,76925.4,0.03,3,76925.3,0.65,1,76925.2,0.01,1,76930.1,491.32,46,76930.2,21.09,3,76930.3,0.07,4,76930.8,0.03,2,76930.9,24.66,3,76931.1,0.01,1,76931.4,0.02,2,76931.6,0.65,1,76931.8,0.03,2,76931.9,20.94,4,76932,20.01,2,76932.2,0.14,2,76932.4,0.01,1,76932.5,21.53,6,76932.6,159.44,2,76932.7,69.43,4,76932.8,155.07,2,76933,7.51,2,76933.1,68.25,5,76933.2,169.02,3,76933.3,0.02,2,76933.4,83.74,7,76933.5,0.02,2,76933.6,0.71,1,76933.7,0.13,1,4078.38,1313.85,0.5127,0.1,76930.1
1789088976602,76945.2,628.58,53,76945.1,153.16,3,76945,185.13,3,76944.9,0.02,1,76944.8,32,2,76944.7,0.67,3,76944.6,0.01,1,76944,0.02,2,76943.9,0.03,2,76943.8,150,1,76943.7,0.01,1,76943.5,0.03,2,76943.4,12,1,76943.3,0.02,2,76943.2,0.65,1,76943.1,0.02,2,76943,0.01,1,76942.8,0.01,1,76942.1,0.01,1,76942,0.01,1,76941.9,13.76,6,76941.8,184.85,3,76941.7,150.03,3,76941.6,53.05,11,76941.5,0.65,1,76945.3,209.97,22,76945.5,1.02,3,76945.6,76.63,2,76945.7,0.01,1,76945.8,0.72,1,76946.1,0.01,1,76946.3,0.01,1,76946.5,0.01,1,76946.9,0.01,1,76947,1.3,5,76947.1,1.25,1,76947.3,0.01,1,76947.4,0.65,1,76947.5,0.01,1,76947.8,0.01,1,76947.9,0.01,1,76948,2.62,3,76948.1,62.81,1,76948.2,0.01,1,76948.3,0.01,1,76948.4,0.02,2,76948.5,0.01,1,76948.6,5.86,3,76948.7,0.14,2,76948.8,68.68,3,1564.73,431.79,0.5675,0.1,76945.2
1789089006802,76957.6,70.58,15,76957.4,0.38,1,76957.3,0.01,1,76956.8,0.01,1,76955.9,0.01,1,76955.2,0.01,1,76955.1,0.02,1,76955,67.76,5,76954.9,13.16,4,76954.8,13.21,3,76954.7,0.01,1,76954.5,0.22,1,76954.4,0.02,2,76954.2,0.01,1,76953.7,0.01,1,76953.1,0.35,4,76952.5,0.66,2,76952.2,10.41,2,76952.1,91.24,5,76952,76.22,2,76951.8,0.02,2,76951.5,0.01,1,76951.4,67.73,3,76951.2,0.04,3,76951.1,65.46,4,76957.7,1282.94,90,76957.8,20.02,3,76957.9,148.21,4,76958,41.93,2,76958.1,0.01,1,76958.2,0.03,3,76958.3,150.65,3,76958.4,107.54,6,76958.5,3.47,3,76958.6,150.01,2,76958.7,0.8,4,76959.5,0.1,2,76960.1,3.91,2,76960.3,0.1,1,76960.5,0.01,1,76960.8,0.02,2,76961,0.01,1,76961.1,0.01,1,76961.5,2.01,2,76961.8,0.01,1,76961.9,15.59,3,76962,32.52,6,76962.1,642.11,3,76962.2,150.01,2,76962.3,39.72,8,477.56,2791.74,-0.7079,0.1,76957.6
1789106252053,77195.9,1101.02,61,77195.8,20.01,2,77195.7,0.02,1,77195.6,20.02,2,77195.5,20.02,2,77195.4,20.01,2,77195.2,2.6,2,77195.1,41.96,3,77195,392.21,9,77194.9,336.61,16,77194.8,0.65,1,77194.2,0.01,1,77194,0.01,1,77193.8,0.1,2,77193.7,0.02,2,77193.6,0.66,2,77193.2,0.03,3,77193.1,0.02,2,77193,4.68,2,77192.7,77.74,3,77192.6,190.02,3,77192.5,0.66,2,77192.2,0.02,2,77192.1,0.01,1,77192,4.59,2,77196,310.4,29,77196.1,0.01,1,77196.2,3.88,1,77196.3,1.26,3,77196.4,1.59,4,77196.5,3.15,5,77196.6,0.01,1,77197.1,0.01,1,77197.6,1.59,1,77197.7,0.01,1,77198,0.03,3,77198.1,0.01,1,77198.6,7.78,3,77198.7,138.18,1,77198.8,0.01,1,77198.9,40.17,3,77199,144.11,7,77199.1,0.01,1,77199.4,0.01,1,77199.5,11.58,1,77199.6,0.02,2,77199.7,0.11,2,77199.9,1015.76,4,77200,3394.82,564,77200.1,0.02,2,2233.7,5074.53,-0.3887,0.1,77195.9
