timestamp_ms,bid0_price,bid0_size,bid0_orders,bid1_price,bid1_size,bid1_orders,bid2_price,bid2_size,bid2_orders,bid3_price,bid3_size,bid3_orders,bid4_price,bid4_size,bid4_orders,bid5_price,bid5_size,bid5_orders,bid6_price,bid6_size,bid6_orders,bid7_price,bid7_size,bid7_orders,bid8_price,bid8_size,bid8_orders,bid9_price,bid9_size,bid9_orders,bid10_price,bid10_size,bid10_orders,bid11_price,bid11_size,bid11_orders,bid12_price,bid12_size,bid12_orders,bid13_price,bid13_size,bid13_orders,bid14_price,bid14_size,bid14_orders,bid15_price,bid15_size,bid15_orders,bid16_price,bid16_size,bid16_orders,bid17_price,bid17_size,bid17_orders,bid18_price,bid18_size,bid18_orders,bid19_price,bid19_size,bid19_orders,bid20_price,bid20_size,bid20_orders,bid21_price,bid21_size,bid21_orders,bid22_price,bid22_size,bid22_orders,bid23_price,bid23_size,bid23_orders,bid24_price,bid24_size,bid24_orders,ask0_price,ask0_size,ask0_orders,ask1_price,ask1_size,ask1_orders,ask2_price,ask2_size,ask2_orders,ask3_price,ask3_size,ask3_orders,ask4_price,ask4_size,ask4_orders,ask5_price,ask5_size,ask5_orders,ask6_price,ask6_size,ask6_orders,ask7_price,ask7_size,ask7_orders,ask8_price,ask8_size,ask8_orders,ask9_price,ask9_size,ask9_orders,ask10_price,ask10_size,ask10_orders,ask11_price,ask11_size,ask11_orders,ask12_price,ask12_size,ask12_orders,ask13_price,ask13_size,ask13_orders,ask14_price,ask14_size,ask14_orders,ask15_price,ask15_size,ask15_orders,ask16_price,ask16_size,ask16_orders,ask17_price,ask17_size,ask17_orders,ask18_price,ask18_size,ask18_orders,ask19_price,ask19_size,ask19_orders,ask20_price,ask20_size,ask20_orders,ask21_price,ask21_size,ask21_orders,ask22_price,ask22_size,ask22_orders,ask23_price,ask23_size,ask23_orders,ask24_price,ask24_size,ask24_orders,bid_vol_total,ask_vol_total,imbalance,spread,mid_price
1785716125957,63394.9,479.42,16,63394.8,0.01,1,63394.5,1,1,63394.4,0.02,2,63394.3,0.01,1,63393.7,0.01,1,63393.5,0.03,2,63393.4,84.35,3,63393.3,96.6,4,63393.2,150.01,2,63393.1,0.01,1,63392.9,0.01,1,63392.4,0.01,1,63392.3,0.01,1,63391.9,0.02,2,63391.7,0.03,3,63391.6,0.01,1,63391.1,0.01,1,63391,0.01,1,63390.8,0.33,2,63390.5,0.01,1,63390.3,0.02,2,63390,0.01,1,63389.9,0.02,2,63389.6,0.01,1,63395,1044.58,26,63395.1,0.02,2,63395.2,0.33,2,63395.4,0.02,1,63395.5,0.32,1,63395.8,0.02,2,63395.9,4,1,63396,0.02,2,63396.1,0.34,2,63396.2,0.02,2,63396.3,0.01,1,63396.4,0.32,1,63396.5,0.02,2,63396.6,0.03,2,63397.1,0.01,1,63397.2,0.01,1,63397.4,58.36,3,63397.5,157.16,3,63397.6,0.03,3,63397.7,24,2,63397.8,1.66,2,63397.9,0.33,2,63398.1,0.02,2,63398.2,75.21,3,63398.4,0.01,1,811.98,1366.85,-0.2547,0.1,63394.9
1785716156207,63396.5,1106.56,30,63396.4,1.81,2,63395.3,0.01,1,63395.2,0.01,1,63395,0.02,2,63394.8,0.03,2,63394.6,0.01,1,63394.4,0.01,1,63394.3,0.01,1,63393.8,0.01,1,63393.7,0.01,1,63393.6,0.04,3,63393.5,151.03,4,63393.4,160.05,7,63393.1,0.01,1,63393,150,1,63392.9,0.01,1,63392.8,150,1,63392.6,0.01,1,63392.4,0.01,1,63392.2,0.02,2,63392.1,0.01,1,63391.9,0.02,2,63391.7,0.01,1,63391.6,0.01,1,63396.6,1029.48,29,63396.7,0.33,2,63397,0.01,1,63397.1,0.32,1,63397.5,0.32,1,63397.8,0.01,1,63397.9,0.34,3,63398.1,0.03,3,63398.2,0.01,1,63398.4,0.02,2,63398.5,0.01,1,63398.7,0.01,1,63398.8,12,2,63398.9,0.01,1,63399,0.34,3,63399.1,2.76,3,63399.2,5.99,4,63399.4,0.33,2,63399.6,0.01,1,63399.7,157.14,1,63399.8,158.87,5,63399.9,236.34,3,63400,106.62,6,63400.1,3.95,2,63400.3,0.01,1,1719.72,1715.26,0.0013,0.1,63396.6
1785716186457,63393,1054.88,50,63392.9,1.02,3,63392.8,0.02,1,63392.7,152.63,4,63392.3,0.03,2,63392.2,150,1,63391.9,0.02,2,63391.5,0.01,1,63391.4,0.01,1,63391.3,0.01,1,63391.1,0.03,2,63391,79.16,2,63390.6,0.01,1,63390.5,7.64,3,63390.4,153.48,3,63390.3,194.09,6,63390.2,2.55,7,63390,0.01,1,63389.9,1,1,63389.7,0.01,1,63389.6,0.01,1,63389.5,0.02,2,63389.2,1.02,2,63389.1,0.01,1,63389,1.2,1,63393.1,89.33,15,63393.2,0.02,2,63393.4,0.01,1,63393.6,0.01,1,63393.9,0.01,1,63394.3,0.01,1,63394.5,0.01,1,63394.6,0.01,1,63394.8,0.01,1,63394.9,0.01,1,63395,29.52,3,63395.1,98.8,2,63395.2,134.45,3,63395.4,0.01,1,63395.7,100.02,3,63395.8,0.01,1,63396,0.04,2,63396.1,0.01,1,63396.5,8.01,2,63396.6,0.01,1,63396.7,0.22,1,63397,0.02,2,63397.2,0.01,1,63397.8,0.01,1,63397.9,0.02,2,1798.87,460.59,0.5923,0.1,63393.1
1785716216857,63389.9,158.31,7,63389.8,0.15,2,63389.5,0.01,1,63388.8,0.02,2,63388.7,0.01,1,63388.5,1.5,1,63388.4,0.18,1,63388.3,0.01,1,63388.2,0.02,2,63388,0.01,1,63387.8,0.03,2,63387.7,150,1,63387.5,0.01,1,63387.4,0.01,1,63387.3,0.01,1,63387.2,0.01,1,63387,0.01,1,63386.9,0.02,1,63386.4,0.04,3,63386.3,1.69,2,63386.1,0.02,1,63386,3.81,3,63385.7,0.03,3,63385.6,0.01,1,63385.3,2.54,5,63390,2161.94,77,63390.1,2.82,4,63390.2,100.72,4,63390.3,94.6,2,63390.4,110.36,4,63390.5,0.33,2,63391,0.01,1,63391.3,0.01,1,63391.4,0.01,1,63391.5,20.03,4,63391.6,177.15,3,63391.7,50.19,7,63391.8,20,1,63391.9,0.02,2,63392.1,0.01,1,63392.3,32,1,63392.4,0.01,1,63392.7,0.01,1,63392.8,0.01,1,63393,0.01,1,63393.1,0.01,1,63393.2,0.01,1,63393.5,106.3,2,63393.6,32.32,1,63393.8,0.01,1,318.46,2908.89,-0.8026,0.1,63389.9
1785716247107,63399.6,1372.8,58,63399.5,0.01,1,63399.3,1,1,63398.5,0.02,1,63398.4,151.05,6,63398.3,150.01,2,63398.2,0.02,1,63398.1,0.03,3,63398,0.03,2,63397.9,150,1,63397.7,0.32,1,63397.6,0.01,1,63397.5,0.01,1,63397.4,0.01,1,63397.3,0.32,1,63397,0.32,1,63396.8,0.01,1,63396.7,0.33,2,63396.6,0.01,1,63396.5,150.02,3,63396.4,12.52,4,63396.3,5.72,4,63396.2,2.41,3,63396,0.36,3,63395.9,0.01,1,63399.7,528.78,24,63399.8,0.02,2,63399.9,17.88,3,63400,35.07,3,63400.3,0.01,1,63400.4,0.01,1,63400.6,0.03,3,63400.7,1.73,1,63400.8,15.35,1,63401.1,1.18,1,63401.2,0.05,5,63401.3,0.25,1,63401.4,0.02,2,63401.5,0.01,1,63401.6,186.68,2,63401.7,0.01,1,63401.8,0.04,2,63402.1,0.01,1,63402.3,0.32,1,63402.4,15.02,3,63402.5,13.13,3,63402.6,0.01,1,63402.7,0.01,1,63402.8,0.22,1,63403,0.02,2,1997.35,815.86,0.42,0.1,63399.6
1785716277357,63408.1,674.97,23,63408,3.13,3,63407.9,0.22,1,63407.8,0.02,1,63407.7,3.09,1,63407.6,0.01,1,63407.4,0.04,4,63406.9,0.03,2,63406.8,150.01,2,63406.7,0.02,2,63406.5,0.01,1,63406.2,0.02,2,63406,0.01,1,63405.8,0.03,2,63405.6,0.02,2,63405.3,0.04,3,63405.2,1.92,1,63405,0.01,1,63404.9,11.38,2,63404.8,0.01,1,63404.6,0.01,1,63404.4,0.01,1,63404.3,0.02,2,63404.1,0.01,1,63404,0.01,1,63408.2,756.95,41,63408.3,3.04,2,63408.6,0.01,1,63408.7,13.2,1,63408.9,0.01,1,63409.5,0.01,1,63409.7,0.01,1,63410,0.01,1,63410.1,0.05,1,63410.3,0.01,1,63410.4,0.01,1,63410.5,0.02,2,63410.6,0.01,1,63410.7,12.02,4,63410.8,32.32,1,63410.9,0.01,1,63411.1,0.32,1,63411.3,100.93,2,63411.4,17.35,4,63411.5,236.28,1,63411.7,310.98,1,63411.8,325.94,4,63411.9,345.25,10,63412,20,1,63412.2,0.01,1,845.05,2174.75,-0.4403,0.1,63408.1
1785716307607,63410.6,793.74,27,63410.5,0.17,4,63410.4,0.38,4,63410.3,1.92,4,63410.1,0.02,1,63410,4.06,1,63409.8,0.32,1,63409.6,0.01,1,63409.4,0.01,1,63409.1,0.01,1,63408.9,0.33,2,63408.3,0.35,4,63408.2,0.01,1,63407.9,0.32,1,63407.7,0.01,1,63407.6,0.32,1,63407.4,0.02,2,63407.3,0.36,4,63407.2,4,1,63407.1,0.01,1,63407,0.33,2,63406.7,0.04,3,63406.6,0.01,1,63406.2,0.01,1,63406.1,0.01,1,63410.7,119.76,24,63410.8,0.01,1,63411.2,0.01,1,63411.9,0.01,1,63412.2,0.02,2,63412.3,0.01,1,63412.4,0.01,1,63412.5,0.01,1,63412.6,0.04,1,63412.8,0.01,1,63412.9,0.01,1,63413,13.25,7,63413.1,164.44,5,63413.2,90.39,3,63413.3,236.29,2,63413.4,157.15,2,63413.6,0.02,2,63413.8,0.01,1,63413.9,11.32,1,63414,0.02,2,63414.4,0.04,4,63414.5,185.11,4,63414.7,0.01,1,63414.8,9.42,2,63415,4,1,806.77,991.37,-0.1027,0.1,63410.6
1785716337857,63396.4,150.06,8,63396.3,0.01,1,63396.2,0.01,1,63396,0.01,1,63395.9,0.01,1,63395.5,0.69,3,63395.2,0.02,2,63395,0.03,3,63394.9,0.01,1,63394.4,0.01,1,63394.3,0.01,1,63394.1,0.01,1,63393.7,0.02,2,63393.6,0.22,1,63393.4,0.01,1,63393.3,0.02,2,63393.2,150.02,2,63393,0.01,1,63392.7,0.01,1,63392.5,0.01,1,63392.4,0.01,1,63392.3,0.01,1,63392.2,1.82,2,63392,0.07,2,63391.9,0.02,2,63396.5,1086.39,37,63396.6,0.01,1,63396.9,0.32,1,63397.2,0.01,1,63397.3,0.01,1,63397.4,71.99,5,63397.5,20.02,3,63397.6,20.33,3,63397.7,20.01,2,63397.8,20.01,3,63398,0.01,1,63398.1,0.02,2,63398.2,0.32,1,63398.3,0.01,1,63398.4,103.63,3,63398.5,127.41,4,63398.6,23.67,2,63398.7,0.01,1,63398.8,0.32,1,63398.9,0.01,1,63399,12.01,3,63399.1,0.32,1,63399.2,0.01,1,63399.4,0.32,1,63399.6,0.02,2,303.13,1507.19,-0.6651,0.1,63396.4
1785716368107,63360,687.12,21,63359.9,0.01,1,63359.8,0.34,3,63359.7,74.88,1,63359.4,0.01,1,63359.3,0.02,2,63359.1,0.02,2,63359,0.32,1,63358.9,0.32,1,63358.8,0.01,1,63358.5,1.02,3,63358.4,0.01,1,63358.2,0.34,3,63358.1,0.01,1,63358,1.45,1,63357.8,0.05,4,63357.7,0.01,1,63357.6,0.02,2,63357.5,0.33,2,63357.4,0.01,1,63357.3,103.38,3,63357.2,20.01,2,63357.1,0.39,2,63357,0.01,1,63356.9,0.02,2,63360.1,451.62,26,63360.2,0.01,1,63360.6,0.01,1,63360.9,0.03,2,63361,7.94,4,63361.1,2.01,2,63361.2,0.32,1,63361.5,0.32,1,63361.6,0.04,3,63361.7,4.25,1,63361.9,0.32,1,63362,0.01,1,63362.2,0.02,2,63362.3,4.25,1,63362.4,0.01,1,63362.6,0.12,2,63362.7,12.03,4,63362.8,0.01,1,63362.9,103.36,1,63363.4,0.03,3,63363.8,0.01,1,63364,0.03,3,63364.1,0.02,2,63364.2,5.19,4,63364.3,116,3,890.11,707.96,0.114,0.1,63360.1
1785729619102,62823.3,1735.25,61,62823.2,238.82,14,62823.1,0.01,1,62822.9,0.32,1,62822.8,0.01,1,62822.5,0.16,2,62822.4,36.97,3,62822.1,0.01,1,62821.8,1.13,3,62821.7,99.94,3,62821.6,0.01,1,62821.5,0.02,2,62821.4,0.01,1,62821.3,78.05,1,62821.1,0.02,2,62820.9,0.02,2,62820.7,0.01,1,62820.6,0.02,2,62820.5,0.01,1,62820.4,101.21,3,62820.3,84.97,1,62820.2,0.01,1,62820.1,0.02,2,62820,36.72,29,62819.7,0.02,2,62823.4,350.95,27,62823.5,0.02,2,62823.6,7.52,2,62824,0.21,1,62824.4,0.01,1,62824.5,94.88,2,62824.6,0.18,3,62824.9,0.01,1,62825.2,0.03,3,62825.3,147.67,1,62825.5,0.34,2,62825.6,0.01,1,62825.7,12.01,3,62825.8,0.01,1,62826.2,0.02,2,62826.3,1.82,1,62826.4,0.01,1,62826.5,0.02,2,62826.8,0.01,1,62827,0.01,1,62827.1,155.58,2,62827.2,0.01,1,62827.3,0.09,2,62827.5,0.01,1,62827.7,0.03,3,2413.74,771.46,0.5156,0.1,62823.4
1785729649402,62868.7,1834.76,54,62868.6,0.04,3,62868.5,5,1,62868.4,0.02,1,62868.3,5.58,4,62868.2,371.11,2,62868.1,156.55,4,62868,241.87,6,62867.9,99.3,4,62867.6,0.15,1,62867.5,0.01,1,62867.2,0.01,1,62867.1,150.01,2,62867,71.01,4,62866.7,0.01,1,62866.6,0.01,1,62866.4,0.34,1,62866.3,0.01,1,62866.2,216.02,2,62866.1,0.02,2,62866,0.01,1,62865.7,0.01,1,62865.5,0.01,1,62865.4,10,1,62865.3,223.87,7,62868.8,785.1,15,62868.9,155.58,2,62869,0.01,1,62869.1,0.01,1,62869.3,0.1,1,62869.4,0.03,1,62869.9,0.03,3,62870,6.66,5,62870.1,13.65,2,62870.4,0.01,1,62870.6,0.02,2,62870.7,0.39,3,62870.8,0.02,2,62870.9,0.02,2,62871,7.72,3,62871.1,0.05,4,62871.2,149.51,5,62871.3,0.21,2,62871.4,159.29,1,62871.5,0.05,1,62871.6,72.58,3,62871.7,0.01,1,62871.8,0.02,1,62871.9,0.63,1,62872,11.62,3,3385.73,1363.32,0.4259,0.1,62868.8
